practicumIndex,code,title,abstracts,goals,course,estimatedTime
15,,,,,ABC133,0.00
15,ABC2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC133,0.00
15,ABC25,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC133,0.00
15,ABC2563,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC133,0.00
15,AB90,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC133,0.00
15,ABC901,,Lorem ipsum,Lorem ipsum,ABC133,0.00
15,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,Lorem ipsum,ABC133,0.00
15,ABC903,Lorem ipsum,,Lorem ipsum,ABC133,0.00
15,ABC904,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pretlllllllllllllllllllllñppl,Lorem ipsum,ABC133,0.00
15,ABC905,Lorem ipsum,Lorem ipsum,,ABC133,0.00
15,ABC906,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pretlllllllllllllllllllllñppl,ABC133,0.00
15,ABC906,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC133,0.00
