practicumIndex,code,title,abstracts,goals,course,estimatedTime
0,,,,,ABC136,0.00
1,ABC2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC123,0.00
2,ABC25,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC123,0.00
3,ABC2563,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC123,0.00
4,AB90,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC123,0.00
5,ABC901,,Lorem ipsum,Lorem ipsum,ABC123,0.00
6,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,,Lorem ipsum,ABC136,0.00
7,ABC903,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,,,ABC136,0.00
8,ABC904,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,ABC136,0.00
9,ABC905,Lorem ipsum,Lo,,,0.00
