practicumIndex,code,title,abstracts,goals,course,estimatedTime
0,ABC501,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC135,0.00
0,ABC503,L,Lorem ipsum,Lorem ipsum,ABC135,0.00
0,ABC504,Lo,Lorem ipsum,Lorem ipsum,ABC135,0.00
0,ABC505,En el mundo tecnológico actual todos utilizamos o formamos parte de una ,Lorem ipsum,Lorem ipsum,ABC135,0.00
0,ABC506,En el mundo tecnológico actual todos utilizamos o formamos parte de una p,Lorem ipsum,Lorem ipsum,ABC135,0.00
0,ABC506,Lorem ipsum,L,Lorem ipsum,ABC135,0.00
0,ABC507,Lorem ipsum,Lo,Lorem ipsum,ABC135,0.00
0,ABC508,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,ABC135,0.00
0,ABC509,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prettretwtwxfwfdgdddddsqddww,Lorem ipsum,ABC135,0.00
0,ABC510,Lorem ipsum,Lorem ipsum,L,ABC135,0.00
0,ABC511,Lorem ipsum,Lorem ipsum,Lo,ABC135,0.00
