key,title,abstracts,nature,inicialPeriod,finalPeriod,link,key:tutorial
tutorialSessions-01,"content=""width=device-width""initial-scale=1.0"">",Lorem ipsum,BALANCE,2022/07/29 21:00,2030/12/10 22:00,http://www.example.com,tutorial-12
tutorialSessions-02,T,Lorem ipsum,THEORETICAL,2030/12/10 20:00,2021/12/10 22:00,http://www.example.com,tutorial-02
tutorialSessions-03,Tu,Lorem ipsum,THEORETICAL,2030/12/10 20:00,2030/12/10 22:00,http://www.example.com,tutorial-03
tutorialSessions-04,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo",Lorem ipsum,THEORETICAL,2030/12/10 20:00,2030/12/10 22:00,null,tutorial-04
tutorialSessions-05,它又胖又可爱，喜欢吃鱼和玩毛线球。但是，有一天它不小心把毛线球打破了，于是它决定学会自己编织新的毛线球。,Lorem ipsum,BALANCE,2030/12/10 20:00,2030/12/10 22:00,null,tutorial-04
tutorialSessions-06,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",Lorem ipsum,THEORETICAL,2030/12/10 20:00,2030/12/10 22:00,null,tutorial-04
tutorialSessions-07,Lorem ipsum,"content=""width=device-width""initial-scale=1.0"">",BALANCE,2022/07/29 21:00,2030/12/10 22:00,http://www.example.com,tutorial-01
tutorialSessions-08,Lorem ipsum,T,THEORETICAL,2030/12/10 20:00,2021/12/10 22:00,http://www.example.com,tutorial-02
tutorialSessions-09,Lorem ipsum,Tu,THEORETICAL,2030/12/10 20:00,2030/12/10 22:00,http://www.example.com,tutorial-03
tutorialSessions-10,Lorem ipsum,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo",THEORETICAL,2030/12/10 20:00,2030/12/10 22:00,null,tutorial-04
tutorialSessions-11,Lorem ipsum,它又胖又可爱，喜欢吃鱼和玩毛线球。但是，有一天它不小心把毛线球打破了，于是它决定学会自己编织新的毛线球。,BALANCE,2030/12/10 20:00,2030/12/10 22:00,null,tutorial-23
tutorialSessions-12,Lorem ipsum,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",THEORETICAL,2030/12/10 20:00,2030/12/10 22:00,null,tutorial-18
