key,instantiation,inicialPeriod,finalPeriod,slogan,link,linkImage
banner-01,2021/09/11 23:00,2021/09/12 20:00,2021/09/18 23:00,Lorem ipsum,http://example.com,http://example.com
banner-02,2019/07/10 23:00,2019/07/10 21:00,2019/07/16 22:00,Lorem ipsum,http://example.com,http://example.com
banner-03,2020/03/08 23:00,2020/03/13 21:00,2019/07/19 22:00,Lorem ipsum,http://example.com,http://example.com
banner-04,2018/12/10 23:00,2018/12/11 21:00,2018/12/16 22:00,Lorem ipsum,http://example.com,http://example.com
banner-05,2021/08/07 23:00,2021/08/09 21:00,2021/08/15 22:00,Lorem ipsum,http://example.com,http://example.com
banner-06,2020/10/10 23:00,2020/10/08 21:00,2020/10/14 22:00,Lorem ipsum,http://example.com,http://example.com
banner-07,2019/11/08 23:00,2019/11/09 21:00,2019/11/14 22:00,L,http://example.com,http://example.com
banner-08,2020/01/10 23:00,2020/01/11 21:00,2020/01/16 22:00,Lo,http://example.com,http://example.com
banner-09,2021/08/07 23:00,2021/08/17 21:00,2021/08/24 22:00,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo",http://example.com,http://example.com
banner-10,2021/09/26 23:00,2021/09/27 21:00,2021/09/28 22:00,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",http://example.com,http://example.com
banner-11,2021/04/23 23:00,2021/04/24 21:00,2021/04/29 22:00,"<script> alert("hi!")</script>",http://example.com,http://example.com
banner-12,2020/05/08 23:00,2020/05/09 21:00,2020/05/13 22:00,こんにちは、私のすべての人々に私たちはお元気ですか,http://example.com,http://example.com
