key,instantiation,heading,summary,inicialPeriod,finalPeriod,price,link
offer-01,2021/12/10 23:00,Offer1,こんにちは、私のすべての人々に私たちはお元気ですか,2021/12/11 23:00,2021/12/18 23:00,"EUR 15,000.98",http://example.com
offer-02,2021/12/10 23:00,こんにちは、私のすべての人々に私たちはお元気ですか,o,2030/12/11 21:00,2030/12/18 22:00,"USD 20,000.00",http://example.com
offer-03,2021/12/10 23:00,Offer3,"<script> alert(""hi!"")</script>",2030/12/11 21:00,2030/12/20 22:00,"GBP 30,000.00",http://example.com
offer-04,2021/12/10 23:00,"<script> alert(""hi!"")</script>",offer4,2030/12/11 21:00,2030/12/21 22:00,"GBP 10,000.00",http://example.com
offer-05,2021/12/10 23:00,probamoscon74caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03l,de,2030/12/11 21:00,2030/12/22 22:00,"GBP 10,000.00",http://example.com
offer-06,2021/12/10 23:00,probamoscon75caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03lm,Resumen de la offer6,2030/12/11 21:00,2030/12/23 22:00,"GBP 10,000.00",http://example.com
offer-07,2021/12/10 23:00,probamoscon75caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03lM,Resumen de la offer7,2030/12/11 21:00,2030/12/24 00:00,"GBP 10,000.00",http://example.com
offer-08,2021/12/10 23:00,O,probamoscon99caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03ldfsdfsdfsgysdgsdgrrrbsdh,2021/12/11 21:00,2021/12/25 22:00,"GBP 10,000.00",http://example.com
offer-09,2021/12/10 23:00,Of,probamoscon100caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03ldfsdfsdfsgysdgsdgrrrbsdh,2022/12/11 21:00,2022/12/26 22:00,"GBP 10,000.00",
offer-10,2021/12/10 23:00,Offer10,probamoscon101caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03ldfsdfsdfsgysdgsdgrrrbsdhX,2030/12/11 21:00,2030/12/27 22:00,"GBP 10,000.00",http://offer.com
