key,code,motivation,goals,key:student,key:course
enrolment-01,A001,Acudir a clase,aprobar,student-01,course-01
enrolment-02,A012,Estudiar diariamente,aprender conocimientos nuevos,student-02,course-02
enrolment-03,A021,Acudir a clasehjkashduahdjkahde,aprobar,student-03,course-03
enrolment-04,A042,Estudiaroaksk93058alskdmkjlasdasdsd,prueba de rellenar muchos muchos datos,student-04,course-04
enrolment-05,A420,Motivation,Goals,student-03,course-04
enrolment-06,ABC923,2,Goals,student-03,course-04
enrolment-07,A440,Motivation,4,student-03,course-04
enrolment-08,A410,??,Goals,student-03,course-04
enrolment-09,A411,Motivation,??,student-03,course-04
enrolment-10,ABC023,<h1>hello</h1>,Goals,student-03,course-04
enrolment-11,ABC053,Motivation,<h1>hello</h1>,student-03,course-04
enrolment-12,ABC111,Motivation,<script>alert(""hi"")</script>,student-03,course-04
