enrolmentRecordIndex,activityIndex,title,abstracts,inicialPeriod,finalPeriod,nature,link
0,0,A,Lorem ipsum,2024/12/01 20:00,2024/12/02 23:00,THEORETICAL,null
1,1,La vida es un camino que debemos recorrer con valentía y pasión y mucho es,Lorem ipsum,2025/12/05 00:00,2025/12/06 23:00,THEORETICAL,http://activity22-example.com
2,2,Lorem ipsum,A,2027/12/01 20:00,2027/12/06 23:00,THEORETICAL,http://example_example.com
3,3,Lorem ipsum,El éxito es el resultado de la perseverancia la pasión y la determinación constante en buscanuestro,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://prueba.com
4,4,Lorem ipsum,Al,2024/01/05 00:10,2024/02/10 23:00,BALANCE,null
5,5,L,El éxito es el resultado de la perseverancia la pasión y la determinación constante en buscanuestro,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://activity12-example.com
6,6,Lo,El éxito es el resultado de la perseverancia la pasión y la determinación constante en buscanuestros,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://activity12-example.com
7,7,Lorem ipsum,こんにちは、私のすべての人々に私たちはお元気ですか,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://1111-example.com
8,8,こんにちは、私のすべての人々に私たちはお元気ですか,Lorem ipsum,2025/01/05 00:10,2025/02/10 23:00,BALANCE,null
9,9,Lorem ipsum,Lorem ipsum,2026/01/05 00:10,2026/02/10 23:00,BALANCE,http://activity12-example.com
10,10,こんにちは、私のすべての人々に私たちはお元気ですか,Lorem ipsum,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://12activity.com
11,11,<h1> hello and welcome to the class!<h1>,Lorem ipsum,2027/01/05 00:10,2027/01/05 00:10,BALANCE,http://example.com
12,12,Lorem ipsum,<h1> hello and welcome to the class!<h1>,2025/01/05 00:10,2025/01/05 00:14,THEORETICA,
13,13,La vida es un camino que debemos recorrer con valentía y pasión y mucho,Lorem ipsum,2025/01/05 00:10,2025/01/05 00:14,THEORETICAL,
14,14,Lorem ipsum,Lorem ipsum,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://activity12-example.com
