tutorialIndex,code,title,abstracts,goals,course,estimatedTime
0,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
1,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
3,L,Lorem ipsum,Lorem ipsum,ABC137,0.00
4,Lo,Lorem ipsum,Lorem ipsum,ABC137,0.00
5,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,Lorem ipsum,ABC137,0.00
6,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,Lorem ipsum,ABC137,0.00
7,Lorem ipsum,L,Lorem ipsum,ABC137,0.00
8,Lorem ipsum,Lo,Lorem ipsum,ABC137,0.00
9,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,ABC137,0.00
10,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,ABC137,0.00
11,Lorem ipsum,Lorem ipsum,L,ABC137,0.00
12,Lorem ipsum,Lorem ipsum,Lo,ABC137,0.00
13,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,ABC137,0.00
14,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,ABC137,0.00
