auditIndex,code,conclusion,strongPoints,weakPoints,course,modeMark
0,A800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
1,AB800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
2,ABC800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
3,ABC900,L,Lorem ipsum,Lorem ipsum,ABC136,
4,ABC901,Lo,Lorem ipsum,Lorem ipsum,ABC136,
5,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,Lorem ipsum,ABC136,
6,ABC903,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,Lorem ipsum,ABC136,
7,ABC904,Lorem ipsum,L,Lorem ipsum,ABC136,
8,ABC905,Lorem ipsum,Lo,Lorem ipsum,ABC136,
9,ABC906,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,ABC136,
10,ABC907,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,ABC136,
11,ABC908,Lorem ipsum,Lorem ipsum,L,ABC136,
12,ABC909,Lorem ipsum,Lorem ipsum,Lo,ABC136,
13,ABC910,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,ABC136,
14,ABC911,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,ABC136,
